PLANE_ID,SATELLITES,RAAN,INCLINATION,ARG_OF_PERIGEE,PERIOD,APOGEE,PERIGEE,ARC_BEGIN,ARC_END,SUB_CONSTELLATION,RAAN
316,1,32.9,53,0,5486,345,345,0,360,VLEO,32.9
317,1,33,53,0,5486,345,345,0,360,VLEO,33
318,1,33.1,53,0,5486,345,345,0,360,VLEO,33.1
319,1,33.3,53,0,5486,345,345,0,360,VLEO,33.3
320,1,33.4,53,0,5486,345,345,0,360,VLEO,33.4
321,1,33.6,53,0,5486,345,345,0,360,VLEO,33.6
322,1,33.7,53,0,5486,345,345,0,360,VLEO,33.7
323,1,33.9,53,0,5486,345,345,0,360,VLEO,33.9
324,1,34,53,0,5486,345,345,0,360,VLEO,34
325,1,34.1,53,0,5486,345,345,0,360,VLEO,34.1
326,1,34.3,53,0,5486,345,345,0,360,VLEO,34.3
327,1,34.4,53,0,5486,345,345,0,360,VLEO,34.4
328,1,34.6,53,0,5486,345,345,0,360,VLEO,34.6
329,1,34.7,53,0,5486,345,345,0,360,VLEO,34.7
330,1,34.8,53,0,5486,345,345,0,360,VLEO,34.8
331,1,35,53,0,5486,345,345,0,360,VLEO,35
332,1,35.1,53,0,5486,345,345,0,360,VLEO,35.1
333,1,35.3,53,0,5486,345,345,0,360,VLEO,35.3
334,1,35.4,53,0,5486,345,345,0,360,VLEO,35.4
335,1,35.5,53,0,5486,345,345,0,360,VLEO,35.5
336,1,35.7,53,0,5486,345,345,0,360,VLEO,35.7
337,1,35.8,53,0,5486,345,345,0,360,VLEO,35.8
338,1,36,53,0,5486,345,345,0,360,VLEO,36
339,1,36.1,53,0,5486,345,345,0,360,VLEO,36.1
340,1,36.2,53,0,5486,345,345,0,360,VLEO,36.2
341,1,36.4,53,0,5486,345,345,0,360,VLEO,36.4
342,1,36.5,53,0,5486,345,345,0,360,VLEO,36.5
343,1,36.7,53,0,5486,345,345,0,360,VLEO,36.7
344,1,36.8,53,0,5486,345,345,0,360,VLEO,36.8
345,1,37,53,0,5486,345,345,0,360,VLEO,37
346,1,37.1,53,0,5486,345,345,0,360,VLEO,37.1
347,1,37.2,53,0,5486,345,345,0,360,VLEO,37.2
348,1,37.4,53,0,5486,345,345,0,360,VLEO,37.4
349,1,37.5,53,0,5486,345,345,0,360,VLEO,37.5
350,1,37.7,53,0,5486,345,345,0,360,VLEO,37.7
351,1,37.8,53,0,5486,345,345,0,360,VLEO,37.8
352,1,37.9,53,0,5486,345,345,0,360,VLEO,37.9
353,1,38.1,53,0,5486,345,345,0,360,VLEO,38.1
354,1,38.2,53,0,5486,345,345,0,360,VLEO,38.2
355,1,38.4,53,0,5486,345,345,0,360,VLEO,38.4
356,1,38.5,53,0,5486,345,345,0,360,VLEO,38.5
357,1,38.7,53,0,5486,345,345,0,360,VLEO,38.7
358,1,38.8,53,0,5486,345,345,0,360,VLEO,38.8
359,1,38.9,53,0,5486,345,345,0,360,VLEO,38.9
360,1,39.1,53,0,5486,345,345,0,360,VLEO,39.1
361,1,39.2,53,0,5486,345,345,0,360,VLEO,39.2
